loss,hyperparameters,iteration,runtime,score
0.5,"{'algorithm': 'brute', 'leaf_size': 26, 'n_jobs': 4, 'n_neighbors': 68, 'p': 1, 'weights': 'uniform'}",55,0.8800660821615267,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 15, 'n_jobs': 4, 'n_neighbors': 25, 'p': 1, 'weights': 'uniform'}",56,0.8720234120633208,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 8, 'n_jobs': 4, 'n_neighbors': 47, 'p': 1, 'weights': 'uniform'}",57,0.7978862070981165,0.5
0.5,"{'algorithm': 'kd_tree', 'leaf_size': 17, 'n_jobs': 4, 'n_neighbors': 19, 'p': 1, 'weights': 'uniform'}",58,0.7677780342519611,0.5
0.5,"{'algorithm': 'brute', 'leaf_size': 32, 'n_jobs': 4, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",59,0.8261392324860708,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 98, 'n_jobs': 4, 'n_neighbors': 90, 'p': 1, 'weights': 'uniform'}",60,0.4408415747590766,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 80, 'n_jobs': 4, 'n_neighbors': 86, 'p': 1, 'weights': 'distance'}",61,0.3633597283668166,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 33, 'n_jobs': 4, 'n_neighbors': 32, 'p': 1, 'weights': 'distance'}",62,0.5441290854950722,0.5
0.5,"{'algorithm': 'brute', 'leaf_size': 94, 'n_jobs': 4, 'n_neighbors': 80, 'p': 1, 'weights': 'uniform'}",63,0.8778414412123468,0.5
0.5,"{'algorithm': 'ball_tree', 'leaf_size': 95, 'n_jobs': 4, 'n_neighbors': 67, 'p': 1, 'weights': 'distance'}",64,0.47501417600604867,0.5
0.5,"{'algorithm': 'kd_tree', 'leaf_size': 9, 'n_jobs': 4, 'n_neighbors': 94, 'p': 1, 'weights': 'distance'}",65,0.8203194966696543,0.5
0.4920514790673902,"{'algorithm': 'auto', 'leaf_size': 87, 'n_jobs': 4, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",66,0.4560556612504172,0.5079485209326098
0.4920514790673902,"{'algorithm': 'auto', 'leaf_size': 14, 'n_jobs': 4, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",67,0.7144997181865449,0.5079485209326098
0.5,"{'algorithm': 'auto', 'leaf_size': 67, 'n_jobs': 4, 'n_neighbors': 17, 'p': 1, 'weights': 'distance'}",68,0.42192316668721475,0.5
0.4920514790673902,"{'algorithm': 'auto', 'leaf_size': 45, 'n_jobs': 4, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",69,0.5872241438822954,0.5079485209326098
0.5,"{'algorithm': 'auto', 'leaf_size': 45, 'n_jobs': 4, 'n_neighbors': 56, 'p': 1, 'weights': 'distance'}",70,0.6503192108028628,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 14, 'n_jobs': 4, 'n_neighbors': 11, 'p': 1, 'weights': 'distance'}",71,0.6017581234168006,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 13, 'n_jobs': 4, 'n_neighbors': 77, 'p': 1, 'weights': 'distance'}",72,0.5840685158692338,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 66, 'n_jobs': 4, 'n_neighbors': 41, 'p': 1, 'weights': 'distance'}",73,0.43619687944399743,0.5
0.49888155230900855,"{'algorithm': 'auto', 'leaf_size': 78, 'n_jobs': 4, 'n_neighbors': 2, 'p': 1, 'weights': 'distance'}",74,0.42311271386142124,0.5011184476909915
0.5,"{'algorithm': 'ball_tree', 'leaf_size': 50, 'n_jobs': 4, 'n_neighbors': 18, 'p': 1, 'weights': 'distance'}",75,0.397856169751968,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 70, 'n_jobs': 4, 'n_neighbors': 40, 'p': 1, 'weights': 'distance'}",76,0.5544079165473832,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 62, 'n_jobs': 4, 'n_neighbors': 79, 'p': 1, 'weights': 'distance'}",77,0.5193026215691177,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 65, 'n_jobs': 4, 'n_neighbors': 48, 'p': 1, 'weights': 'distance'}",78,0.44477117643570097,0.5
0.5,"{'algorithm': 'brute', 'leaf_size': 59, 'n_jobs': 4, 'n_neighbors': 57, 'p': 1, 'weights': 'uniform'}",79,0.8198924031540926,0.5
0.5,"{'algorithm': 'ball_tree', 'leaf_size': 64, 'n_jobs': 4, 'n_neighbors': 76, 'p': 1, 'weights': 'distance'}",80,0.332916195377571,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 47, 'n_jobs': 4, 'n_neighbors': 61, 'p': 1, 'weights': 'distance'}",81,0.41179537569936286,0.5
0.5,"{'algorithm': 'kd_tree', 'leaf_size': 73, 'n_jobs': 4, 'n_neighbors': 24, 'p': 1, 'weights': 'uniform'}",82,0.47625662986949635,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 71, 'n_jobs': 4, 'n_neighbors': 50, 'p': 1, 'weights': 'distance'}",83,0.341331345634714,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 74, 'n_jobs': 4, 'n_neighbors': 82, 'p': 1, 'weights': 'uniform'}",84,0.46753299948074556,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 11, 'n_jobs': 4, 'n_neighbors': 31, 'p': 1, 'weights': 'distance'}",85,0.4656944920296482,0.5
0.5,"{'algorithm': 'ball_tree', 'leaf_size': 57, 'n_jobs': 4, 'n_neighbors': 63, 'p': 1, 'weights': 'uniform'}",86,0.4466514972379727,0.5
0.5,"{'algorithm': 'kd_tree', 'leaf_size': 85, 'n_jobs': 4, 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",87,0.34547897407102823,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 75, 'n_jobs': 4, 'n_neighbors': 98, 'p': 1, 'weights': 'uniform'}",88,0.4810271919049356,0.5
0.5022543450852275,"{'algorithm': 'brute', 'leaf_size': 6, 'n_jobs': 4, 'n_neighbors': 6, 'p': 1, 'weights': 'distance'}",89,1.0848077161846277,0.4977456549147726
0.5,"{'algorithm': 'auto', 'leaf_size': 99, 'n_jobs': 4, 'n_neighbors': 37, 'p': 1, 'weights': 'uniform'}",90,0.5859364633328923,0.5
0.5,"{'algorithm': 'auto', 'leaf_size': 30, 'n_jobs': 4, 'n_neighbors': 39, 'p': 1, 'weights': 'distance'}",91,0.6406816600241712,0.5
